dissertation_file,derivation,source_2026_file,source_sha256,current_sha256,notes
frontmatter/abstract.tex,byte-identical-copy,abstract.tex,e1525a0466fcd753b4cc09338dc425efed1da3de9071317a33c08aa9cfd6df01,e1525a0466fcd753b4cc09338dc425efed1da3de9071317a33c08aa9cfd6df01,content unchanged from frozen baseline
chapters/chap1.tex,byte-identical-copy,chap1.tex,0aa9a05fe1befd9a5c68b20a51003c000fb40bd912ec03361c5a50a6d7552ab9,0aa9a05fe1befd9a5c68b20a51003c000fb40bd912ec03361c5a50a6d7552ab9,content unchanged from frozen baseline
chapters/chap2.tex,byte-identical-copy,chap2.tex,ff01167c7cf48664e5a8607555221d694b19da67dfe3a737b7d5bbd546af5429,ff01167c7cf48664e5a8607555221d694b19da67dfe3a737b7d5bbd546af5429,content unchanged from frozen baseline
chapters/chap3.tex,byte-identical-copy,chap3.tex,5d765cc4e4ffd38aa7f911ab80865bf473ad5b9b4814b125c1125e31c5430238,5d765cc4e4ffd38aa7f911ab80865bf473ad5b9b4814b125c1125e31c5430238,content unchanged from frozen baseline
chapters/chap4.tex,byte-identical-copy,chap4.tex,d42a362de155067b2077d3360275cc14b4d0452b0ef93c92ab952714ed28e756,d42a362de155067b2077d3360275cc14b4d0452b0ef93c92ab952714ed28e756,content unchanged from frozen baseline
chapters/chap5.tex,byte-identical-copy,chap5.tex,9577eb2f79c6a2e80adbae27f6d34d0d542346941342c09d7dfe6f7f52a34ec1,9577eb2f79c6a2e80adbae27f6d34d0d542346941342c09d7dfe6f7f52a34ec1,content unchanged from frozen baseline
appendices/appendix.tex,byte-identical-copy,appendix.tex,09558b66763ab4d46b4b4adc31351e4b884d99ff33f38dfefa646354e80212dd,09558b66763ab4d46b4b4adc31351e4b884d99ff33f38dfefa646354e80212dd,content unchanged from frozen baseline
bibliography/references.bib,byte-identical-copy,references.bib,7cdb3f04550ba152e0a01d9c4971041915052fbbb9b4d65252a250c27b3b3b90,7cdb3f04550ba152e0a01d9c4971041915052fbbb9b4d65252a250c27b3b3b90,content unchanged from frozen baseline
main.tex,translated-from,thesis.tex,eca9322a75e70699bc611ac9e7b686002c19825bfb24e603b5b1f76d29837483,2a1b45236682322944d8f10fd984f8ccf43b3624568ca9c3c3d3e4e583f9a881,pdflatex/natbib -> LuaLaTeX/biblatex (decision 0006)
preamble/packages.tex,translated-from,thesis.tex,eca9322a75e70699bc611ac9e7b686002c19825bfb24e603b5b1f76d29837483,76238a321580db96dc7f17939f8b45150d43c74a9d7412312361cebd099fef2b,pdflatex/natbib -> LuaLaTeX/biblatex (decision 0006)
preamble/style.tex,translated-from,thesis.tex,eca9322a75e70699bc611ac9e7b686002c19825bfb24e603b5b1f76d29837483,c0b515183a016af8a03ea3324d7b13c471545bd7744a756da8331894c7753f30,pdflatex/natbib -> LuaLaTeX/biblatex (decision 0006)
preamble/macros.tex,translated-from,thesis.tex,eca9322a75e70699bc611ac9e7b686002c19825bfb24e603b5b1f76d29837483,86818cd3eb8e601f080c9e94c6680cbb8520da691f4b1b11d8ed0527f8f20f4c,pdflatex/natbib -> LuaLaTeX/biblatex (decision 0006)
